CONSUMER   PRICE   INDEX   (2002 = 100)   -   ANNUAL,,,,,,,,,,,,,,"v41693271,v41694760,v41695228,v41695234"
,,,,,,,,,,,,,,
,,CANADA,,,BRITISH COLUMBIA,,,VANCOUVER,,,VICTORIA,,,
Year,,All Items Index,Annual Percent Change,,All Items Index,Annual Percent Change,,All Items Index,Annual Percent Change,,All Items Index,Annual Percent Change,,
,,,,,,,,,,,,,,
1920,,11.4,,,,,,,,,,,,
1921,,10,-12.3,,,,,,,,,,,
1922,,9.2,-8,,,,,,,,,,,
1923,,9.2,0,,,,,,,,,,,
1924,,9,-2.2,,,,,,,,,,,
1925,,9.1,1.1,,,,,,,,,,,
1926,,9.2,1.1,,,,,,,,,,,
1927,,9.1,-1.1,,,,,,,,,,,
1928,,9.1,0,,,,,,,,,,,
1929,,9.2,1.1,,,,,,,,,,,
1930,,9.1,-1.1,,,,,,,,,,,
1931,,8.2,-9.9,,,,,,,,,,,
1932,,7.5,-8.5,,,,,,,,,,,
1933,,7.1,-5.3,,,,,,,,,,,
1934,,7.2,1.4,,,,,,,,,,,
1935,,7.3,1.4,,,,,,,,,,,
1936,,7.4,1.4,,,,,,,,,,,
1937,,7.7,4.1,,,,,,,,,,,
1938,,7.7,0,,,,,,,,,,,
1939,,7.7,0,,,,,,,,,,,
1940,,8,3.9,,,,,,,,,,,
1941,,8.5,6.3,,,,,,,,,,,
1942,,8.8,3.5,,,,,,,,,,,
1943,,9,2.3,,,,,,,,,,,
1944,,9.1,1.1,,,,,,,,,,,
1945,,9.2,1.1,,,,,,,,,,,
1946,,9.4,2.2,,,,,,,,,,,
1947,,10.3,9.6,,,,,,,,,,,
1948,,11.8,14.6,,,,,,,,,,,
1949,,12.2,3.4,,,,,,,,,,,
1950,,12.5,2.5,,,,,,,,,,,
1951,,13.8,10.4,,,,,,,,,,,
1952,,14.2,2.9,,,,,,,,,,,
1953,,14,-1.4,,,,,,,,,,,
1954,,14.1,0.7,,,,,,,,,,,
1955,,14.1,0,,,,,,,,,,,
1956,,14.3,1.4,,,,,,,,,,,
1957,,14.8,3.5,,,,,,,,,,,
1958,,15.2,2.7,,,,,,,,,,,
1959,,15.3,0.7,,,,,,,,,,,
1960,,15.5,1.3,,,,,,,,,,,
1961,,15.7,1.3,,,,,,,,,,,
1962,,15.9,1.3,,,,,,,,,,,
1963,,16.1,1.3,,,,,,,,,,,
1964,,16.4,1.9,,,,,,,,,,,
1965,,16.8,2.4,,,,,,,,,,,
1966,,17.5,4.2,,,,,,,,,,,
1967,,18.1,3.4,,,,,,,,,,,
1968,,18.8,3.9,,,,,,,,,,,
1969,,19.7,4.8,,,,,,,,,,,
1970,,20.3,3,,,,,,,,,,,
1971,,20.9,3,,,,,21.4,,,,,,
1972,,21.9,4.8,,,,,22.6,5.6,,,,,
1973,,23.6,7.8,,,,,24.2,7.1,,,,,
1974,,26.2,11,,,,,27,11.6,,,,,
1975,,29,10.7,,,,,30,11.1,,,,,
1976,,31.1,7.2,,,,,32.9,9.7,,,,,
1977,,33.6,8,,,,,35.3,7.3,,,,,
1978,,36.6,8.9,,,,,38,7.6,,,,,
1979,,40,9.3,,41.5,,,41,7.9,,,,,
1980,,44,10,,45.4,9.4,,44.8,9.3,,,,,
1981,,49.5,12.5,,51.8,14.1,,51.2,14.3,,,,,
1982,,54.9,10.9,,57.3,10.6,,56.6,10.5,,,,,
1983,,58.1,5.8,,60.4,5.4,,59.7,5.5,,,,,
1984,,60.6,4.3,,62.8,4,,62.1,4,,,,,
1985,,63,4,,64.8,3.2,,64,3.1,,66.2,,,
1986,,65.6,4.1,,66.7,2.9,,66.2,3.4,,67.3,1.7,,
1987,,68.5,4.4,,68.7,3,,68.2,3,,69,2.5,,
1988,,71.2,3.9,,71.2,3.6,,70.6,3.5,,71.7,3.9,,
1989,,74.8,5.1,,74.4,4.5,,73.8,4.5,,75,4.6,,
1990,,78.4,4.8,,78.4,5.4,,77.8,5.4,,78.9,5.2,,
1991,,82.8,5.6,,82.6,5.4,,81.9,5.3,,83.4,5.7,,
1992,,84,1.4,,84.8,2.7,,84.3,2.9,,85.2,2.2,,
1993,,85.6,1.9,,87.8,3.5,,87.3,3.6,,87.7,2.9,,
1994,,85.7,0.1,,89.5,1.9,,89.1,2.1,,89.5,2.1,,
1995,,87.6,2.2,,91.6,2.3,,91.3,2.5,,91.7,2.5,,
1996,,88.9,1.5,,92.4,0.9,,92.1,0.9,,92.6,1,,
1997,,90.4,1.7,,93.1,0.8,,92.6,0.5,,93.5,1,,
1998,,91.3,1,,93.4,0.3,,93,0.4,,93.7,0.2,,
1999,,92.9,1.8,,94.4,1.1,,93.9,1,,94.7,1.1,,
2000,,95.4,2.7,,96.1,1.8,,96,2.2,,96.2,1.6,,
2001,,97.8,2.5,,97.7,1.7,,97.8,1.9,,97.4,1.2,,
2002,,100,2.2,,100,2.4,,100,2.2,,100,2.7,,
2003,,102.8,2.8,,102.2,2.2,,102,2,,102.2,2.2,,
2004,,104.7,1.8,,104.2,2,,104,2,,104.6,2.3,,
2005,,107,2.2,,106.3,2,,106,1.9,,106.9,2.2,,
2006,,109.1,2,,108.1,1.7,,108,1.9,,108.5,1.5,,
2007,,111.5,2.2,,110,1.8,,110.2,2,,109.8,1.2,,
2008,,114.1,2.3,,112.3,2.1,,112.8,2.4,,111.8,1.8,,
2009,,114.4,0.3,,112.3,0,,112.9,0.1,,111.9,0.1,,
2010,,116.5,1.8,,113.8,1.3,,114.9,1.8,,113.1,1.1,,
2011,,119.9,2.9,,116.5,2.4,,117.5,2.3,,115.5,2.1,,
2012,,121.7,1.5,,117.8,1.1,,119,1.3,,116.7,1,,
