Year,All Items Index,Annual Percent Change
1971,21.4,
1972,22.6,5.6
1973,24.2,7.1
1974,27,11.6
1975,30,11.1
1976,32.9,9.7
1977,35.3,7.3
1978,38,7.6
1979,41,7.9
1980,44.8,9.3
1981,51.2,14.3
1982,56.6,10.5
1983,59.7,5.5
1984,62.1,4
1985,64,3.1
1986,66.2,3.4
1987,68.2,3
1988,70.6,3.5
1989,73.8,4.5
1990,77.8,5.4
1991,81.9,5.3
1992,84.3,2.9
1993,87.3,3.6
1994,89.1,2.1
1995,91.3,2.5
1996,92.1,0.9
1997,92.6,0.5
1998,93,0.4
1999,93.9,1
2000,96,2.2
2001,97.8,1.9
2002,100,2.2
2003,102,2
2004,104,2
2005,106,1.9
2006,108,1.9
2007,110.2,2
2008,112.8,2.4
2009,112.9,0.1
2010,114.9,1.8
2011,117.5,2.3
2012,119,1.3
2013,119.2,0.2
2014,120.5,1.1
2015,121.9,1.2
2016,124.6,2.2
2017,127.3,2.2
2018,131,2.9
2019,134.1,2.4
2020,134.9,0.6
2021,138.5,2.7
2022,147.8,6.8
