CrimeType,Annual Crime Rate Change_Per Capita,Year
Break and Enter Commercial,0.00%,2003
Break and Enter Commercial,1.31%,2004
Break and Enter Commercial,-20.53%,2005
Break and Enter Commercial,6.38%,2006
Break and Enter Commercial,-15.92%,2007
Break and Enter Commercial,-10.24%,2008
Break and Enter Commercial,-17.92%,2009
Break and Enter Commercial,-12.34%,2010
Break and Enter Commercial,3.70%,2011
Break and Enter Commercial,-4.86%,2012
Break and Enter Commercial,3.67%,2013
Break and Enter Commercial,25.03%,2014
Break and Enter Commercial,8.05%,2015
Break and Enter Commercial,8.01%,2016
Break and Enter Commercial,-19.29%,2017
Break and Enter Commercial,-9.00%,2018
Break and Enter Commercial,22.05%,2019
Break and Enter Commercial,10.87%,2020
Break and Enter Commercial,-26.19%,2021
Break and Enter Commercial,-5.35%,2022
Break and Enter Commercial,-22.05%,2023
Break and Enter Residential/Other,0.00%,2003
Break and Enter Residential/Other,-6.29%,2004
Break and Enter Residential/Other,-16.29%,2005
Break and Enter Residential/Other,1.05%,2006
Break and Enter Residential/Other,-13.46%,2007
Break and Enter Residential/Other,-12.94%,2008
Break and Enter Residential/Other,-22.42%,2009
Break and Enter Residential/Other,-8.26%,2010
Break and Enter Residential/Other,-2.78%,2011
Break and Enter Residential/Other,1.23%,2012
Break and Enter Residential/Other,-9.81%,2013
Break and Enter Residential/Other,-0.66%,2014
Break and Enter Residential/Other,1.15%,2015
Break and Enter Residential/Other,-5.31%,2016
Break and Enter Residential/Other,-18.90%,2017
Break and Enter Residential/Other,-3.79%,2018
Break and Enter Residential/Other,-6.04%,2019
Break and Enter Residential/Other,-9.09%,2020
Break and Enter Residential/Other,-29.16%,2021
Break and Enter Residential/Other,-15.85%,2022
Break and Enter Residential/Other,-16.76%,2023
Homicide,0.00%,2003
Homicide,27.79%,2004
Homicide,-1.25%,2005
Homicide,-19.26%,2006
Homicide,3.69%,2007
Homicide,-6.94%,2008
Homicide,-1.77%,2009
Homicide,-45.43%,2010
Homicide,47.46%,2011
Homicide,-47.33%,2012
Homicide,-13.59%,2013
Homicide,26.97%,2014
Homicide,64.58%,2015
Homicide,-27.58%,2016
Homicide,52.61%,2017
Homicide,-12.87%,2018
Homicide,-20.79%,2019
Homicide,48.54%,2020
Homicide,4.53%,2021
Homicide,-42.66%,2022
Homicide,17.05%,2023
Mischief,0.00%,2003
Mischief,-13.45%,2004
Mischief,-10.71%,2005
Mischief,0.98%,2006
Mischief,-8.75%,2007
Mischief,7.58%,2008
Mischief,-17.52%,2009
Mischief,0.21%,2010
Mischief,5.27%,2011
Mischief,-13.63%,2012
Mischief,-2.35%,2013
Mischief,6.50%,2014
Mischief,-8.50%,2015
Mischief,8.27%,2016
Mischief,15.76%,2017
Mischief,5.11%,2018
Mischief,1.03%,2019
Mischief,3.73%,2020
Mischief,-12.35%,2021
Mischief,2.83%,2022
Mischief,-3.66%,2023
Offence Against a Person,0.00%,2003
Offence Against a Person,4.22%,2004
Offence Against a Person,-4.63%,2005
Offence Against a Person,6.04%,2006
Offence Against a Person,-3.50%,2007
Offence Against a Person,-4.16%,2008
Offence Against a Person,-8.24%,2009
Offence Against a Person,-2.63%,2010
Offence Against a Person,-4.65%,2011
Offence Against a Person,-1.48%,2012
Offence Against a Person,-6.48%,2013
Offence Against a Person,-9.44%,2014
Offence Against a Person,-0.26%,2015
Offence Against a Person,-2.49%,2016
