,growth,growthRate,population,year
0,24300,0.008284549,2957471,2035
1,24431,0.008399169,2933171,2034
2,24582,0.008523111,2908740,2033
3,24751,0.008655991,2884158,2032
4,24929,0.008794917,2859407,2031
5,25107,0.008936876,2834478,2030
6,25259,0.009072552,2809371,2029
7,25363,0.00919366,2784112,2028
8,25411,0.009296691,2758749,2027
9,25413,0.009384676,2733338,2026
10,25416,0.009474712,2707925,2025
11,25421,0.009567241,2682509,2024
12,25398,0.009650833,2657088,2023
13,25339,0.009722021,2631690,2022
14,25272,0.009791254,2606351,2021
15,25195,0.009857646,2581079,2020
16,25138,0.00993304,2555884,2019
17,31654,0.0126662,2530746,2018
18,31258,0.012666168,2499092,2017
19,30867,0.012666154,2467834,2016
20,30438,0.012648092,2436967,2015
21,30059,0.012648592,2406529,2014
22,29643,0.012631097,2376470,2013
23,29353,0.012665946,2346827,2012
24,39258,0.017231904,2317474,2011
25,40274,0.017995998,2278216,2010
26,39507,0.017970511,2237942,2009
27,38916,0.01802068,2198435,2008
28,38175,0.017995667,2159519,2007
29,28002,0.013376696,2121344,2006
30,26241,0.01269459,2093342,2005
31,25981,0.012728796,2067101,2004
32,25621,0.012711988,2041120,2003
33,25299,0.012711788,2015499,2002
34,31163,0.015907305,1990200,2001
35,31665,0.016429107,1959037,2000
36,31111,0.016406497,1927372,1999
37,30609,0.016406597,1896261,1998
38,30074,0.01638394,1865652,1997
39,46483,0.025981292,1835578,1996
40,47699,0.027391242,1789095,1995
41,46426,0.027390455,1741396,1994
42,45128,0.027352922,1694970,1993
43,44045,0.027428747,1649842,1992
44,46806,0.030023265,1605797,1991
45,45751,0.030233803,1558991,1990
46,44348,0.030191464,1513240,1989
47,43165,0.030275782,1468892,1988
48,41840,0.030233682,1425727,1987
49,25043,0.018429636,1383887,1986
50,23280,0.017430838,1358844,1985
51,22944,0.017479545,1335564,1984
52,22518,0.017454434,1312620,1983
53,22133,0.017455474,1290102,1982
54,20717,0.016610116,1267969,1981
55,20352,0.016588149,1247252,1980
56,19992,0.016564643,1226900,1979
57,19667,0.016565297,1206908,1978
58,19319,0.016541344,1187241,1977
59,17487,0.015200337,1167922,1976
60,17063,0.015055075,1150435,1975
61,16811,0.015056052,1133372,1974
62,16538,0.015034231,1116561,1973
63,16338,0.015076337,1100023,1972
64,39024,0.037355659,1083685,1971
65,39578,0.039377842,1044661,1970
66,38026,0.039321364,1005083,1969
67,36687,0.039432699,967057,1968
68,35247,0.039376711,930370,1967
69,58885,0.070416556,895123,1966
70,56991,0.073135989,836238,1965
71,53249,0.073345932,779247,1964
72,49544,0.073240753,725998,1963
73,46163,0.073240773,676454,1962
74,9876,0.015918377,630291,1961
75,6732,0.010969833,620415,1960
76,6649,0.010953258,613683,1959
77,6577,0.010953324,607034,1958
78,6497,0.010938447,600457,1957
79,6444,0.010968212,593960,1956
80,6366,0.010954143,587516,1955
81,6297,0.010954105,581150,1954
82,6220,0.010938514,574853,1953
83,6170,0.01096961,568633,1952
84,6094,0.010953162,562463,1951
85,0,0.0,556369,1950
